caldt,sprtrn
04/25/2002,-0.001519
04/26/2002,-0.013889
04/29/2002,-0.010099
04/30/2002,0.010765
05/01/2002,0.008859
05/02/2002,-0.001749
05/03/2002,-0.010262
05/06/2002,-0.019340
05/07/2002,-0.003021
05/08/2002,0.037504
05/09/2002,-0.014547
05/10/2002,-0.016794
05/13/2002,0.018550
05/14/2002,0.021144
05/15/2002,-0.005659
05/16/2002,0.006562
05/17/2002,0.007612
05/20/2002,-0.013293
05/21/2002,-0.010990
05/22/2002,0.005686
05/23/2002,0.010184
05/24/2002,-0.012087
05/28/2002,-0.008553
05/29/2002,-0.006412
05/30/2002,-0.002810
05/31/2002,0.002329
06/03/2002,-0.024795
06/04/2002,0.000010
06/05/2002,0.008850
06/06/2002,-0.019764
06/07/2002,-0.001574
06/10/2002,0.003124
06/11/2002,-0.016629
06/12/2002,0.006571
06/13/2002,-0.010488
06/14/2002,-0.002268
06/17/2002,0.028691
06/18/2002,0.000936
06/19/2002,-0.016536
06/20/2002,-0.013432
06/21/2002,-0.017043
06/24/2002,0.003619
06/25/2002,-0.016702
06/26/2002,-0.002674
06/27/2002,0.017575
06/28/2002,-0.000838
07/01/2002,-0.021378
07/02/2002,-0.021225
07/03/2002,0.006223
07/05/2002,0.036730
07/08/2002,-0.012184
07/09/2002,-0.024719
07/10/2002,-0.033962
07/11/2002,0.007496
07/12/2002,-0.006448
07/15/2002,-0.003755
07/16/2002,-0.018389
07/17/2002,0.005538
07/18/2002,-0.027019
07/19/2002,-0.038341
07/22/2002,-0.032922
07/23/2002,-0.027017
07/24/2002,0.057315
07/25/2002,-0.005620
07/26/2002,0.016884
07/29/2002,0.054078
07/30/2002,0.004249
07/31/2002,0.009792
08/01/2002,-0.029574
08/02/2002,-0.023082
08/05/2002,-0.034296
08/06/2002,0.029919
08/07/2002,0.020010
08/08/2002,0.032722
08/09/2002,0.003512
08/12/2002,-0.005327
08/13/2002,-0.021675
08/14/2002,0.040047
08/15/2002,0.011559
08/16/2002,-0.001591
08/19/2002,0.023633
08/20/2002,-0.013979
08/21/2002,0.012726
08/22/2002,0.014052
08/23/2002,-0.022686
08/26/2002,0.007536
08/27/2002,-0.013851
08/28/2002,-0.018132
08/29/2002,-0.000076
08/30/2002,-0.001885
09/03/2002,-0.041536
09/04/2002,0.017517
09/05/2002,-0.015950
09/06/2002,0.016800
09/09/2002,0.010113
09/10/2002,0.007331
09/11/2002,-0.000143
09/12/2002,-0.024784
09/13/2002,0.003270
09/16/2002,0.001450
09/17/2002,-0.019728
09/18/2002,-0.004648
09/19/2002,-0.030065
09/20/2002,0.002455
09/23/2002,-0.013828
09/24/2002,-0.017284
09/25/2002,0.024863
09/26/2002,0.018210
09/27/2002,-0.032259
09/30/2002,-0.014600
10/01/2002,0.040010
10/02/2002,-0.023587
10/03/2002,-0.010822
10/04/2002,-0.022431
10/07/2002,-0.019111
10/08/2002,0.016898
10/09/2002,-0.027287
10/10/2002,0.034966
10/11/2002,0.039059
10/14/2002,0.007327
10/15/2002,0.047336
10/16/2002,-0.024113
10/17/2002,0.022302
10/18/2002,0.005903
10/21/2002,0.017334
10/22/2002,-0.010626
10/23/2002,0.006718
10/24/2002,-0.015221
10/25/2002,0.017167
10/28/2002,-0.008266
10/29/2002,-0.009076
10/30/2002,0.009704
10/31/2002,-0.005557
11/01/2002,0.017160
11/04/2002,0.008191
11/05/2002,0.007761
11/06/2002,0.009144
11/07/2002,-0.022852
11/08/2002,-0.008763
11/11/2002,-0.020732
11/12/2002,0.007715
11/13/2002,-0.000476
11/14/2002,0.024634
11/15/2002,0.006149
11/18/2002,-0.010409
11/19/2002,-0.004021
11/20/2002,0.019415
11/21/2002,0.021452
11/22/2002,-0.003438
11/25/2002,0.002504
11/26/2002,-0.020978
11/27/2002,0.027986
11/29/2002,-0.002727
12/02/2002,-0.001901
12/03/2002,-0.014745
12/04/2002,-0.003454
12/05/2002,-0.012010
12/06/2002,0.006266
12/09/2002,-0.022176
12/10/2002,0.013957
12/11/2002,0.000564
12/12/2002,-0.003724
12/13/2002,-0.013432
12/16/2002,0.023519
12/17/2002,-0.008139
12/18/2002,-0.013145
12/19/2002,-0.007709
12/20/2002,0.013005
12/23/2002,0.001820
12/24/2002,-0.005471
12/26/2002,-0.003149
12/27/2002,-0.016029
12/30/2002,0.004558
12/31/2002,0.000489
01/02/2003,0.033200
01/03/2003,-0.000484
01/06/2003,0.022474
01/07/2003,-0.006545
01/08/2003,-0.014086
01/09/2003,0.019397
01/10/2003,-0.000011
01/13/2003,-0.001412
01/14/2003,0.005830
01/15/2003,-0.014426
01/16/2003,-0.003942
01/17/2003,-0.014017
01/21/2003,-0.015702
01/22/2003,-0.010432
01/23/2003,0.010224
01/24/2003,-0.029233
01/27/2003,-0.016160
01/28/2003,0.013050
