temp,year,week,hour
4,2013,1,11
5,2013,1,12
5,2013,1,13
6,2013,1,14
7,2013,1,15
8,2013,1,16
9,2013,1,17
10,2013,1,18
10,2013,1,19
10,2013,1,20
11,2013,1,21
11,2013,1,22
10,2013,1,23
9,2013,1,0
10,2013,1,1
9,2013,1,2
10,2013,1,3
12,2013,1,4
12,2013,1,5
12,2013,1,6
12,2013,1,7
12,2013,1,8
10,2013,1,9
10,2013,1,10
10,2013,1,11
12,2013,1,12
12,2013,1,13
13,2013,1,14
14,2013,1,15
15,2013,1,16
16,2013,1,17
16,2013,1,18
17,2013,1,19
17,2013,1,20
16,2013,1,21
16,2013,1,22
16,2013,1,23
16,2013,1,0
16,2013,1,1
16,2013,1,2
15,2013,1,3
15,2013,1,4
14,2013,1,5
14,2013,1,6
13,2013,1,7
14,2013,1,8
14,2013,1,9
14,2013,1,10
14,2013,1,11
14,2013,1,12
14,2013,1,13
15,2013,1,14
15,2013,1,15
16,2013,1,16
16,2013,1,17
17,2013,1,18
17,2013,1,19
18,2013,1,20
18,2013,1,21
18,2013,1,22
18,2013,1,23
17,2013,1,0
16,2013,1,1
17,2013,1,2
16,2013,1,3
16,2013,1,4
16,2013,1,5
16,2013,1,6
16,2013,1,7
16,2013,1,8
16,2013,1,9
17,2013,1,10
17,2013,1,11
17,2013,1,12
17,2013,1,13
17,2013,1,14
18,2013,1,15
18,2013,1,16
18,2013,1,17
19,2013,1,18
20,2013,1,19
18,2013,1,20
18,2013,1,21
18,2013,1,22
18,2013,1,23
18,2013,1,0
17,2013,1,1
17,2013,1,2
17,2013,1,3
17,2013,1,4
17,2013,1,5
16,2013,1,6
16,2013,1,7
16,2013,1,8
16,2013,1,9
16,2013,1,10
16,2013,1,11
16,2013,1,12
16,2013,1,13
16,2013,1,14
17,2013,1,15
18,2013,1,16
20,2013,1,17
21,2013,1,18
22,2013,1,19
22,2013,1,20
22,2013,1,21
22,2013,1,22
20,2013,1,23
19,2013,2,0
17,2013,2,1
16,2013,2,2
16,2013,2,3
17,2013,2,4
16,2013,2,5
16,2013,2,6
16,2013,2,7
16,2013,2,8
16,2013,2,9
16,2013,2,10
16,2013,2,11
16,2013,2,12
17,2013,2,13
17,2013,2,14
17,2013,2,15
18,2013,2,16
18,2013,2,17
20,2013,2,18
21,2013,2,19
21,2013,2,20
21,2013,2,21
21,2013,2,22
20,2013,2,23
20,2013,2,0
20,2013,2,1
19,2013,2,2
19,2013,2,3
18,2013,2,4
17,2013,2,5
17,2013,2,6
17,2013,2,7
17,2013,2,8
17,2013,2,9
17,2013,2,10
17,2013,2,11
16,2013,2,12
14,2013,2,13
13,2013,2,14
12,2013,2,15
10,2013,2,16
10,2013,2,17
11,2013,2,18
11,2013,2,19
11,2013,2,20
11,2013,2,21
12,2013,2,22
11,2013,2,23
10,2013,2,0
9,2013,2,1
8,2013,2,2
8,2013,2,3
8,2013,2,4
8,2013,2,5
8,2013,2,6
8,2013,2,7
8,2013,2,8
9,2013,2,9
9,2013,2,10
9,2013,2,11
9,2013,2,12
9,2013,2,13
9,2013,2,14
9,2013,2,15
10,2013,2,16
10,2013,2,17
11,2013,2,18
11,2013,2,19
12,2013,2,20
13,2013,2,21
13,2013,2,22
13,2013,2,23
13,2013,2,0
13,2013,2,1
13,2013,2,2
14,2013,2,3
14,2013,2,4
13,2013,2,5
19,2013,2,6
15,2013,2,7
15,2013,2,8
15,2013,2,9
15,2013,2,10
15,2013,2,11
15,2013,2,12
13,2013,2,13
13,2013,2,14
12,2013,2,15
12,2013,2,16
13,2013,2,17
13,2013,2,18
13,2013,2,19
12,2013,2,20
13,2013,2,21
12,2013,2,22
12,2013,2,23
12,2013,2,0
11,2013,2,1
11,2013,2,2
11,2013,2,3
11,2013,2,4
10,2013,2,5
10,2013,2,6
10,2013,2,7
10,2013,2,8
10,2013,2,9
10,2013,2,10
10,2013,2,11
9,2013,2,12
9,2013,2,13
9,2013,2,14
8,2013,2,15
8,2013,2,16
8,2013,2,17
7,2013,2,18
5,2013,2,19
4,2013,2,20
3,2013,2,21
3,2013,2,22
3,2013,2,23
3,2013,2,0
3,2013,2,1
3,2013,2,2
3,2013,2,3
2,2013,2,4
2,2013,2,5
1,2013,2,6
1,2013,2,7
0,2013,2,8
0,2013,2,9
0,2013,2,10
0,2013,2,11
0,2013,2,12
0,2013,2,13
1,2013,2,14
4,2013,2,15
6,2013,2,16
8,2013,2,17
9,2013,2,18
10,2013,2,19
11,2013,2,20
11,2013,2,21
11,2013,2,22
9,2013,2,23
6,2013,2,0
4,2013,2,1
3,2013,2,2
2,2013,2,3
1,2013,2,4
1,2013,2,5
0,2013,2,6
0,2013,2,7
0,2013,2,8
0,2013,2,9
0,2013,2,10
0,2013,2,11
0,2013,2,12
0,2013,2,13
3,2013,2,14
5,2013,2,15
8,2013,2,16
10,2013,2,17
12,2013,2,18
12,2013,2,19
12,2013,2,20
12,2013,2,21
12,2013,2,22
9,2013,2,23
6,2013,3,0
5,2013,3,1
4,2013,3,2
3,2013,3,3
3,2013,3,4
2,2013,3,5
2,2013,3,6
1,2013,3,7
0,2013,3,8
0,2013,3,9
0,2013,3,10
0,2013,3,11
0,2013,3,12
0,2013,3,13
2,2013,3,14
6,2013,3,15
10,2013,3,16
